bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.278921973,0.97277172,0.03906601,1.0000044,g
61026.278933548,0.94789635,0.03758091,1.0000044,g
61026.278945122,0.85777883,0.03723458,1.0000044,g
61026.278956697,0.86850398,0.03662742,1.0000044,g
61026.278968272,0.98115026,0.03931338,1.0000044,g
61026.278979847,1.05113545,0.03958398,1.0000044,g
61026.278991422,0.89512058,0.03805337,1.0000044,g
61026.279002997,0.92266147,0.03748965,1.0000044,g
61026.279014572,1.00764034,0.03839894,1.0000044,g
61026.279026146,0.91281302,0.03714031,1.0000044,g
61026.279037721,0.95910913,0.03798097,1.0000044,g
61026.279049296,0.97868089,0.03687904,1.0000044,g
61026.279060871,0.91968752,0.0363808,1.0000044,g
61026.279072446,0.94682021,0.03755927,1.0000044,g
61026.279084021,0.95165984,0.03820717,1.0000044,g
61026.279095596,0.9670718,0.03747329,1.0000044,g
61026.27910717,1.0048916,0.03711263,1.0000044,g
61026.279118745,0.95716708,0.03734763,1.0000044,g
61026.27913032,0.87632912,0.03616842,1.0000044,g
61026.279141895,0.94996106,0.0379771,1.0000044,g
61026.27915347,1.00294042,0.03818469,1.0000044,g
61026.279165045,1.0205255,0.03860195,1.0000044,g
61026.27917662,1.02890373,0.03849903,1.0000044,g
61026.279188195,0.98377405,0.03922593,1.0000044,g
61026.279199769,0.9388943,0.03890011,1.0000044,g
61026.279211344,1.06187423,0.04262512,1.0000044,g
61026.279222919,1.03615666,0.04020994,1.0000044,g
61026.279234494,0.98944463,0.03792532,1.0000044,g
61026.279246069,1.03424672,0.03936601,1.0000044,g
61026.279257644,0.99742712,0.03914463,1.0000044,g
61026.279269219,0.94323563,0.0384339,1.0000044,g
61026.279280793,0.93268481,0.03888132,1.0000044,g
61026.279292368,0.98277669,0.03940133,1.0000044,g
61026.279303943,1.0154757,0.03895528,1.0000044,g
61026.279315518,0.99402444,0.03844843,1.0000044,g
61026.279327093,0.98991067,0.03787359,1.0000044,g
61026.279338668,0.96764545,0.03769002,1.0000044,g
