bjd_tdb,flux_rel,flux_rel_err,filter,exptime_s
60033.16612459,1.116982,0.083713,u,24.000192
60033.16615965,0.973549,0.046023,g,24.000192
60033.16615965,1.209146,0.104299,i,24.000192
60033.16622978,0.910955,0.047698,g,24.000192
60033.16622978,0.899795,0.106067,i,24.000192
60033.16626484,1.113039,0.084459,u,24.000192
60033.16629991,1.096655,0.047365,g,24.000192
60033.16629991,1.12064,0.100168,i,24.000192
60033.16637003,1.130114,0.048215,g,24.000192
60033.16637003,1.090968,0.100272,i,24.000192
60033.1664051,1.146725,0.08906,u,24.000192
60033.16644016,1.120734,0.051679,g,24.000192
60033.16644016,1.176024,0.113355,i,24.000192
60033.16651029,1.100579,0.044742,g,24.000192
60033.16651029,1.122568,0.097947,i,24.000192
60033.16654535,1.104269,0.079627,u,24.000192
60033.16658041,1.034233,0.045438,g,24.000192
60033.16658041,1.056881,0.098731,i,24.000192
60033.16665054,1.102968,0.045588,g,24.000192
60033.16665054,1.1178,0.096982,i,24.000192
60033.1666856,1.119521,0.082699,u,24.000192
60033.16672067,1.112656,0.050077,g,24.000192
60033.16672067,0.991558,0.108979,i,24.000192
60033.16679079,1.11332,0.047535,g,24.000192
60033.16679079,0.967744,0.099901,i,24.000192
60033.16682586,1.147108,0.078252,u,24.000192
60033.16686092,1.090186,0.044848,g,24.000192
60033.16686092,1.121247,0.103097,i,24.000192
60033.16693105,1.117828,0.046699,g,24.000192
60033.16693105,1.12781,0.104143,i,24.000192
60033.16696611,1.116374,0.084973,u,24.000192
60033.16700117,1.069556,0.046,g,24.000192
60033.16700117,1.050759,0.106065,i,24.000192
60033.1670713,1.163572,0.048251,g,24.000192
60033.1670713,1.121681,0.103638,i,24.000192
60033.16710636,1.063117,0.082671,u,24.000192
60033.16714143,1.160726,0.046208,g,24.000192
60033.16714143,1.393723,0.0968,i,24.000192
60033.16721155,1.14245,0.044207,g,24.000192
60033.16721155,1.155014,0.100773,i,24.000192
60033.16724662,1.180437,0.085172,u,24.000192
60033.16728168,1.107778,0.046586,g,24.000192
60033.16728168,1.285727,0.102865,i,24.000192
60033.16735181,0.999485,0.045723,g,24.000192
60033.16735181,1.219274,0.10053,i,24.000192
60033.16738687,0.918341,0.083136,u,24.000192
60033.16742193,1.031044,0.047781,g,24.000192
60033.16742193,0.938438,0.099533,i,24.000192
60033.16749206,1.024519,0.046401,g,24.000192
60033.16749206,1.064865,0.096711,i,24.000192
60033.16752712,0.904418,0.08354,u,24.000192
60033.16756219,1.050878,0.046844,g,24.000192
60033.16756219,1.160211,0.10632,i,24.000192
60033.16763231,1.038097,0.045687,g,24.000192
60033.16763231,1.055381,0.09836,i,24.000192
60033.16766738,1.039196,0.08317,u,24.000192
60033.16770244,0.976313,0.04855,g,24.000192
60033.16770244,1.073216,0.103176,i,24.000192
60033.16777257,1.000439,0.044951,g,24.000192
60033.16777257,0.850204,0.097016,i,24.000192
60033.16780763,0.955833,0.081111,u,24.000192
60033.16784269,0.985189,0.043769,g,24.000192
60033.16784269,1.13544,0.096729,i,24.000192
60033.16791282,0.916552,0.043341,g,24.000192
60033.16791282,1.099272,0.091949,i,24.000192
60033.16794788,1.004026,0.079884,u,24.000192
60033.16798295,1.006613,0.044971,g,24.000192
60033.16798295,0.973601,0.099138,i,24.000192
60033.16805307,0.962693,0.047186,g,24.000192
60033.16805307,1.081942,0.103828,i,24.000192
60033.16808814,0.947358,0.084238,u,24.000192
60033.1681232,0.847656,0.048409,g,24.000192
60033.1681232,0.907812,0.102762,i,24.000192
60033.16819333,0.953052,0.04516,g,24.000192
60033.16819333,1.119472,0.097163,i,24.000192
60033.16822839,0.919505,0.080585,u,24.000192
60033.16826345,0.862492,0.041999,g,24.000192
60033.16826345,0.993262,0.09655,i,24.000192
60033.16833358,0.85435,0.045129,g,24.000192
60033.16833358,0.834263,0.09992,i,24.000192
