mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
58571.383112,19,21,o,18.83
58571.390958,-14,17,o,18.86
58571.391417,-8,20,o,18.82
58571.399736,-13,20,o,18.67
58571.408054,2,25,o,18.71
58575.369093,2,23,o,18.64
58575.376933,-15,22,o,18.54
58575.379268,-6,30,o,18.58
58575.385302,-4,21,o,18.69
58575.38762,-2,31,o,18.6
58575.395935,-24,30,o,18.69
58577.363545,53,14,c,19.08
58577.371889,43,16,c,19.12
58577.376125,42,11,c,19.28
58577.37798,24,16,c,19.16
58577.384473,53,14,c,19.25
58577.386303,43,13,c,19.19
58577.392798,49,14,c,19.29
58577.394642,7,15,c,19.16
58577.401543,34,14,c,19.28
58579.347063,-6,22,o,18.68
58579.352603,34,16,o,18.99
58579.355372,-3,21,o,18.73
58579.360454,10,23,o,18.81
58579.362771,1,21,o,18.81
58579.368295,6,18,o,18.99
58579.371065,21,16,o,18.84
58579.376616,46,20,o,19.01
58581.363451,62,12,c,19.28
58581.372259,51,14,c,19.26
58581.379678,54,16,c,19.26
58581.387945,24,15,c,19.22
58583.353165,13,26,o,18.65
58583.354602,22,20,o,18.77
58597.317355,6,34,o,18.72
58599.328055,24,20,o,18.96
58599.335926,14,21,o,18.95
58599.343332,36,32,o,18.74
58605.33589,43,15,c,19.09
58607.296227,6518584820,16488185132,o,-3.44
58607.300003,-630986263,20191560428,o,-3.66
58607.307875,14706103096,23897417532,o,-3.57
58607.315256,18604184367,19698548154,o,-3.55
58607.323157,4691204302,13712751036,o,-3.32
58611.258238,18,22,o,18.84
58611.260681,-11,20,o,18.92
58611.266808,-36,21,o,18.9
58611.282706,31,16,o,18.99
58613.241824,-60,26,o,18.46
58613.244689,18,26,o,18.73
58613.245147,-22,22,o,18.73
58613.24884,46,21,o,18.88
58613.252081,5,15,o,18.92
58613.253917,22,16,o,18.98
58613.264297,25,21,o,18.9
58613.265212,29,19,o,18.96
58619.242297,-28,52,o,17.75
58619.24556,15,46,o,17.91
58619.253028,22,48,o,17.98
58619.254415,73,46,o,18.22
58619.257737,-27,45,o,18.16
58619.262944,13,52,o,18.17
58619.263405,24,47,o,18.02
58619.272776,50,50,o,18.17
58621.254688,-29,35,o,18.16
58621.257943,28,37,o,18.14
58621.264564,11,33,o,18.17
58621.276941,51,39,o,18.17
58622.257792,-195,251,H,16.13
58623.247451,23,21,o,18.83
58623.250221,18,22,o,18.78
58623.255293,3,25,o,18.71
58623.267309,-24,36,o,18.49
58625.257438,32,16,o,19.13
58625.260723,17,14,o,19.09
58625.266422,9,17,o,19.05
58625.277677,7,14,o,19.12
58821.59601,25,14,o,19.46
58821.599307,-1,19,o,19.33
58821.612868,38,22,o,18.9
58821.618711,27,13,o,19.4
58821.622963,40,17,o,18.78
58821.62743,54,13,o,19.31
58821.660823,201,128,o,17.17
58825.572444,55,12,o,19.31
58825.57785,33,12,o,19.46
58825.581148,29,16,o,19.44
58825.591508,56,12,o,19.5
58825.605549,22,11,o,19.43
58825.608935,40,10,o,19.42
58825.614469,50,13,o,19.42
58825.626541,32,13,o,19.46
58829.580506,47,43,o,18.06
58829.58781,57,36,o,18.03
58829.589652,71,40,o,18.02
58829.591023,26,39,o,18.07
58829.592855,69,33,o,17.99
58829.598414,87,36,o,18.09
58829.607955,35,44,o,18.11
58829.611655,55,38,o,18.03
58837.533021,-8,28,o,19.02
58837.543123,74,23,o,17.6
58837.560452,9851426129,30133774043,o,-3.72
58837.582111,7636730320,27046753217,o,-3.81
58837.588883,-6,372,o,16.16
58837.602047,63,34,o,18.36
58839.526907,413,2064,o,14.0
58839.529712,-1262,2231,o,14.58
58839.534836,962,874,o,15.44
58839.544651,-23,20,o,18.73
58841.625707,32,12,c,19.4
58841.631156,19,12,c,19.35
58841.64855,32,11,c,19.4
58841.649007,28,12,c,19.27
58841.653171,39,11,c,19.39
58841.654554,28,15,c,19.3
58841.658717,63,13,c,19.27
58841.67116,139,69,c,17.43
58845.521284,32,10,c,19.57
58845.524503,34,11,c,19.54
58845.53155,55,10,c,19.57
58845.548044,16,11,c,19.37
58845.598589,45,11,c,19.37
58845.60181,9,11,c,19.36
58845.607345,1,15,c,19.35
58845.618414,55,13,c,19.31
58851.493954,48,13,o,19.53
58851.497177,22,11,o,19.51
58851.503674,6,12,o,19.34
58851.519439,28,11,o,19.34
58855.4908,0,33,o,18.41
58855.510187,-35,25,o,18.46
58855.522316,-26,27,o,18.5
58855.532425,-7,24,o,18.6
58867.451767,-5,17,o,18.96
58867.459449,21,13,o,19.16
58867.478598,4,11,o,19.24
58867.48182,44,17,o,19.2
58871.439715,11,12,o,19.19
58871.442965,8,16,o,18.98
58871.453289,6,16,o,19.05
58871.463169,56,16,o,19.12
58875.446607,-28,19,o,18.93
58875.45081,-98,21,o,18.69
58875.45174,6,21,o,18.77
58875.457086,34,18,o,18.87
58875.458452,-36,19,o,18.9
58875.466473,26,19,o,18.99
58875.467394,42,15,o,19.0
58875.472648,53,17,o,19.07
58883.409416,20,27,o,18.45
58883.41919,35,27,o,18.42
58883.421964,0,25,o,18.5
58883.434324,-36,28,o,18.46
58887.412697,2,52,o,17.82
58887.432308,-27,53,o,17.83
58887.435539,-19,49,o,17.83
58887.446779,-62,55,o,17.74
58913.401018,47,29,o,18.64
58913.403764,-16,30,o,18.61
58913.408824,23,28,o,18.67
58913.413395,-3,18,o,18.74
58913.416139,40,24,o,18.79
58913.418427,61,28,o,18.64
58913.421171,47,17,o,18.84
58915.333825,3,42,o,17.93
58915.337997,-93,178,o,17.14
58915.347841,327,219,o,16.61
58915.353378,143,236,o,16.23
58919.322937,25,36,o,18.26
58919.327101,35,37,o,18.25
58919.345276,94,36,o,18.27
58919.355431,66,32,o,18.39
58939.262677,1467,1377,o,15.84
58939.272454,26,54,o,17.82
58939.279049,26,17,o,18.83
58939.293599,-19,86,o,17.46
58941.317413,31,15,o,18.94
58941.32066,34,21,o,18.85
58941.325915,46,26,o,18.85
58941.33711,13,25,o,18.87
58941.342681,17,18,o,18.96
58941.345916,68,21,o,18.94
58941.351474,36,18,o,18.91
58941.361417,24,17,o,18.9
58955.246499,-26,25,o,18.53
58955.252077,30,24,o,18.64
58955.256248,49,21,o,18.81
58955.270762,13,15,o,19.0
58959.235463,34,17,o,18.93
58959.240078,58,15,o,19.08
58959.245245,50,16,o,19.12
58959.298114,40,16,o,19.09
58961.275548,35,15,c,19.26
58961.279281,56,17,c,19.27
58961.285339,48,15,c,19.25
58961.290411,38,13,c,19.27
58961.293229,59,15,c,19.29
58961.295517,91,13,c,19.19
58961.300302,14,14,c,19.26
58961.304031,30,11,c,19.41
58961.307254,56,12,c,19.37
58961.312386,39,14,c,19.33
58961.313341,56,11,c,19.4
58961.323962,18,14,c,19.33
58971.269344,-12,17,o,18.89
58971.273487,50,15,o,18.91
58971.279553,70,19,o,18.88
58971.290158,25,21,o,18.84
58973.239435,75,46,o,17.99
58973.244971,62,36,o,18.24
58973.248179,26,32,o,18.34
58973.251392,8,29,o,18.43
58973.25461,49,33,o,18.45
58973.261091,-15,31,o,18.38
58973.261548,61,36,o,18.48
58973.271686,59,32,o,18.51
58975.281821,20,32,o,18.37
58975.28643,-9,34,o,18.44
58975.292421,13,29,o,18.4
58975.304877,34,32,o,18.35
58981.246398,42,20,c,18.84
58981.246855,62,16,c,18.86
58981.251975,48,16,c,19.08
58981.254263,57,13,c,19.2
58981.255178,72,17,c,19.11
58981.25749,67,13,c,19.13
58981.258404,64,14,c,19.22
58981.266692,59,15,c,19.18
58981.267606,42,17,c,19.17
58981.268063,31,13,c,19.17
58981.272211,53,17,c,19.2
58981.284185,14,16,c,19.19
59183.643887,-1,32,o,18.07
59183.646193,16,30,o,17.98
59183.646655,34,35,o,18.04
59183.648959,86,44,o,17.95
59183.64942,23,30,o,18.01
59183.652643,32,37,o,17.82
59183.653565,25,41,o,17.8
59183.655408,18,46,o,17.66
59185.592761,40,31,o,18.41
59185.593674,16,25,o,18.4
59185.595964,65,26,o,18.61
59185.596878,-15,30,o,18.48
59185.598708,28,27,o,18.54
59185.602407,22,28,o,18.48
59185.603322,49,29,o,18.45
59185.606997,52,24,o,18.49
59185.607912,14,25,o,18.47
59185.611965,14,27,o,18.46
59185.614252,34,26,o,18.49
59185.635439,64,27,o,18.57
59187.561262,19,32,o,18.55
59187.564485,-35,25,o,18.47
59187.570409,-20,28,o,18.46
59187.580563,-66,34,o,18.17
59191.54939,25,21,o,18.72
59191.552614,42,20,o,18.71
59191.558145,12,23,o,18.79
59191.569185,13,19,o,18.92
59197.58983,59,11,c,19.47
59197.591658,25,10,c,19.49
59197.594417,38,10,c,19.44
59197.599459,58,13,c,19.46
59205.557398,25,13,c,19.29
59205.559227,41,14,c,19.28
59205.563343,40,13,c,19.17
59205.567002,41,17,c,19.07
59205.568374,35,13,c,19.22
59205.568831,11,12,c,19.19
59205.572032,-18,30,c,19.19
59207.516821,28,13,c,19.19
59207.520044,29,12,c,19.23
59207.525571,20,13,c,19.26
59207.537102,31,12,c,19.38
59209.593292,12,17,o,19.09
59209.597434,46,17,o,19.12
59209.603428,34,17,o,19.02
59209.614405,17,20,o,19.02
59209.621274,22,20,o,18.98
59209.626768,41,16,o,19.07
59209.637366,13,24,o,19.13
59209.643357,-28,427,o,19.16
59209.666448,90,41,o,18.32
59219.487636,47,26,o,18.51
59219.509526,51,24,o,18.68
59219.512753,21,24,o,18.77
59219.518285,52,24,o,18.63
59223.488718,50,12,c,19.34
59223.492407,48,10,c,19.49
59223.497931,35,11,c,19.43
59223.508547,6,20,c,19.34
59229.506637,42,11,c,19.43
59229.508465,53,10,c,19.5
59229.508922,43,12,c,19.53
59229.511208,45,10,c,19.47
59229.512122,27,10,c,19.55
59229.518085,50,11,c,19.5
59229.521287,59,11,c,19.45
59229.523573,17,11,c,19.55
59243.45519,19,46,o,17.89
59243.458895,-2,50,o,17.86
59243.464895,77,40,o,17.96
59243.475083,-6,51,o,17.84
59247.510487,-8,19,o,18.9
59247.543833,23,18,o,18.89
59247.547059,67,24,o,18.92
59247.552586,77,21,o,18.93
59251.49256,38,10,c,19.42
59251.505326,59,11,c,19.31
59251.509481,41,11,c,19.29
59251.514899,63,12,c,19.38
59253.476247,60,14,c,19.39
59253.476705,67,11,c,19.41
59253.479458,36,13,c,19.4
59253.479916,58,11,c,19.45
59253.486813,53,12,c,19.39
59253.48727,61,11,c,19.43
59253.497838,51,14,c,19.37
59253.498754,45,12,c,19.38
59255.411565,44,12,c,19.26
59255.414404,48,12,c,19.36
59255.419942,14,14,c,19.21
59255.430077,67,12,c,19.32
59257.405047,38,12,c,19.32
59257.405505,38,12,c,19.43
